mpid,question,count,answer
7,Richard Borthwick is the star in which movie?,1,Richard Borthwick is the star in the movie Smart Money.
1,Which movie was produced by Lightstorm Entertainment?,1,The movie Titanic was produced by Lightstorm Entertainment.
2,Which country is the origin of the film Smart Money?,1,Bernard Rose is the origin of the film Smart Money.
7,The film Titanic includes which stars?,3,"Billy Zane, Kate Winslet, Leonardo DiCaprio are the stars in the film Titanic."
2,Who directed the movie Titanic?,1,James Cameron directed the movie Titanic.
7,Jane Bertish is the star in which film?,1,Jane Bertish is the star in the film Smart Money.
1,Which movie was produced by Polaris Film Production & Finance?,1,The movie 2 Days in Paris was produced by Polaris Film Production & Finance.
5,Which city is belong to Spain?,2,"Madrid, Barcelona are belong to Spain."
5,Which country is Los Angeles belong to?,1,Los Angeles is belong to USA.
2,Who directed the film 2 Days in Paris?,1,Julie Delpy directed the film 2 Days in Paris.
2,Which movie originated from James Cameron?,1,The movie Titanic originated from James Cameron.
5,Which country is Toronto belong to?,1,Toronto is belong to Canada.
5,Which country is Barcelona belong to?,1,Barcelona is belong to Spain.
1,Which film was produced by Tempête Sous un Crâne?,1,The film 2 Days in Paris was produced by Tempête Sous un Crâne.
2,Who directed the movie Smart Money?,1,Bernard Rose directed the movie Smart Money.
4,Where Daniel Brühl was born?,1,Daniel Brühl was born in Barcelona.
4,Who was born in Chicago?,1,Billy Zane was born in Chicago.
6,Which city is BBC in?,1,BBC is in London.
1,Which company produced the film Smart Money?,2,"The film Smart Money was produced by BBC, Polymuse."
1,Which movie was produced by BBC?,1,The movie Smart Money was produced by BBC.
7,The movie Smart Money includes which stars?,3,"Jane Bertish, Richard Borthwick, Ken Campbell are the stars in the movie Smart Money."
4,Where was Matthew Jacobs born?,1,Matthew Jacobs was born in London.
5,Which city is belong to Sweden?,1,Stockholm is belong to Sweden.
5,Which country is Berlin belong to?,1,Berlin is belong to Germany.
7,The movie 2 Days in Paris includes which stars?,3,"Julie Delpy, Adam Goldberg, Daniel Brühl are the stars in the movie 2 Days in Paris."
5,Which country is Kapuskasing belong to?,1,Kapuskasing is belong to Canada.
9,Which country was Adam Goldberg born?,1,Adam Goldberg was born in USA.
4,Where was Adam Goldberg born?,1,Adam Goldberg was born in Santa Monica.
7,The film 2 Days in Paris includes which stars?,3,"Julie Delpy, Adam Goldberg, Daniel Brühl are the stars in the film 2 Days in Paris."
4,Where was Billy Zane born?,1,Billy Zane was born in Chicago.
6,Which city is Lightstorm Entertainment in?,1,Lightstorm Entertainment is in Los Angeles.
7,Kate Winslet is the star in which movie?,1,Kate Winslet is the star in the movie Titanic.
1,Which film was produced by Polaris Film Production & Finance?,1,The film 2 Days in Paris was produced by Polaris Film Production & Finance.
5,Which country is New York belong to?,1,New York is belong to USA.
4,Where was Leonardo DiCaprio born?,1,Leonardo DiCaprio was born in Los Angeles.
8,Who is the writer of the film Titanic?,1,James Cameron is the writer of the film Titanic.
1,Which movie was produced by Tempête Sous un Crâne?,1,The movie 2 Days in Paris was produced by Tempête Sous un Crâne.
2,Which movie originated from Bernard Rose?,1,The movie Smart Money originated from Bernard Rose.
4,Who was born in Barcelona?,1,Daniel Brühl was born in Barcelona.
2,Who directed the movie 2 Days in Paris?,1,Julie Delpy directed the movie 2 Days in Paris.
9,Which country was Richard Borthwick born?,1,Richard Borthwick was born in Israel.
2,Which movie was directed by James Cameron?,1,The movie Titanic was directed by James Cameron.
2,Which film was directed by James Cameron?,1,The film Titanic was directed by James Cameron.
4,Where was Julie Delpy born?,1,Julie Delpy was born in Paris.
6,Where is Paramount Pictures?,1,Paramount Pictures is in Los Angeles.
1,Which movie was produced by Polymuse?,1,The movie Smart Money was produced by Polymuse.
4,"Who was born in Reading, Berkshire?",1,"Kate Winslet was born in Reading, Berkshire."
7,Billy Zane is the star in which movie?,1,Billy Zane is the star in the movie Titanic.
1,Which company produced the movie Smart Money?,2,"The movie Smart Money was produced by BBC, Polymuse."
8,Julie Delpy is the writer of which films?,1,Julie Delpy is the writer of the film 2 Days in Paris.
7,Adam Goldberg is the star in which movie?,1,Adam Goldberg is the star in the movie 2 Days in Paris.
5,"Which country is Reading, Berkshire belong to?",1,"Reading, Berkshire is belong to UK."
2,Who directed the film Smart Money?,1,Bernard Rose directed the film Smart Money.
4,Who was born in Paris?,1,Julie Delpy was born in Paris.
5,Which city is belong to France?,1,Paris is belong to France.
6,Which city is Paramount Pictures in?,1,Paramount Pictures is in Los Angeles.
7,Leonardo DiCaprio is the star in which film?,1,Leonardo DiCaprio is the star in the film Titanic.
2,Which film originated from Bernard Rose?,1,The film Smart Money originated from Bernard Rose.
7,Daniel Brühl is the star in which film?,1,Daniel Brühl is the star in the film 2 Days in Paris.
7,Jane Bertish is the star in which movie?,1,Jane Bertish is the star in the movie Smart Money.
8,James Cameron is the writer of which movies?,1,James Cameron is the writer of the movie Titanic.
1,Which movie was produced by 3L Filmproduktion?,1,The movie 2 Days in Paris was produced by 3L Filmproduktion.
4,Where James Cameron was born?,1,James Cameron was born in Kapuskasing.
9,Which country was Julie Delpy born?,1,Julie Delpy was born in France.
8,Who is the writer of the movie 2 Days in Paris?,1,Julie Delpy is the writer of the movie 2 Days in Paris.
